X1	X2
roughnet	Visualize Networks using 'roughjs'
roughsf	Visualize Spatial Data using 'roughjs'
rPackedBar	Packed Bar Charts with 'plotly'
rqti	Create Tests According to QTI 2.1 Standard
rquiz	Interactive Quizzes as HTML Widgets
rrtable	Reproducible Research with a Table of R Codes
RSDK	Sudoku with R
RSP	'shiny' Applications for Statistical and Psychometric Analysis
rtables	Reporting Tables
rtabulator	R Bindings for 'Tabulator JS'
rtemis	Machine Learning and Visualization
rtiddlywiki	R Interface for 'TiddlyWiki'
ruminate	A Pharmacometrics Data Transformation and Analysis Tool
rusk	Beautiful Graphical Representation of Multiplication Tables on a Modular Circle
sae4health	Small Area Estimation for Key Health and Demographic Indicators from Household Surveys
SampleSizeCalculator	Sample Size Calculator under Complex Survey Design
samplex	Shiny Tool for Sample Size Calculation
samr	SAM: Significance Analysis of Microarrays
sankeywheel	Create Dependency Wheels and Sankey Diagrams
santaR	Short Asynchronous Time-Series Analysis
sasquatch	Use 'SAS', R, and 'quarto' Together
sass	Syntactically Awesome Style Sheets ('Sass')
savonliquide	Accessibility Toolbox for 'R' Users
Saylac	Spatial Analysis of Yearly, Longitudinal, and Areal Change
scatterD3	D3 JavaScript Scatterplot from R
scatterPlotMatrix	'htmlwidget' for a Scatter Plot Matrix
scdtb	Single Case Design Tools
scenes	Switch Between Alternative 'shiny' UIs
scientific	Two Highly Customizable 'rmarkdown' Themes for Scientific Reports
scoutbaR	A Spotlight 'React' Widget for 'shiny' Apps
scrollrevealR	Animate 'shiny' Elements when They Scroll into View using the 'scrollrevealjs' Library
sd2R	Stable Diffusion Image Generation
sdbuildR	An Accessible Interface for Stock-and-Flow Modelling
sdcHierarchies	Create and (Interactively) Modify Nested Hierarchies
sdcMicro	Statistical Disclosure Control Methods for Anonymization of Data and Risk Estimation
sdstudio	Companion Application for the 'surveydown' Survey Platform
SEAHORS	Spatial Exploration of ArcHaeological Objects in R Shiny
seasonalityPlot	Seasonality Variation Plots of Stock Prices and Cryptocurrencies
seasonalview	Graphical User Interface for Seasonal Adjustment
semantic.assets	Assets for 'shiny.semantic'
semantic.dashboard	Dashboard with Fomantic UI Support for Shiny
semdrw	'SEM Shiny'
SemNetCleaner	An Automated Cleaning Tool for Semantic and Linguistic Data
sendigR	Enable Cross-Study Analysis of 'CDISC' 'SEND' Datasets
SensMap	Sensory and Consumer Data Mapping
sergeant	Tools to Transform and Query Data with Apache Drill
Seurat	Tools for Single Cell Genomics
sever	Customise 'Shiny' Disconnected Screens and Error Messages
sglr	Sequential Generalized Likelihood Ratio Decision Boundaries Proposed by Shih, Lai, Heyse and Chen (2010, <doi:10.1002/Sim.4036>)
sgraph	Network Visualization Using 'sigma.js'
SHELF	Tools to Support the Sheffield Elicitation Framework
shidashi	A Shiny Dashboard Template Modular System with Chat Bot Support
shiny	Web Application Framework for R
shiny.blueprint	Palantir's 'Blueprint' for 'Shiny' Apps
shiny.destroy	Create Destroyable Modules in 'Shiny'
shiny.emptystate	Empty State Components for 'Shiny'
shiny.i18n	Shiny Applications Internationalization
shiny.ollama	R 'shiny' Interface for Chatting with Large Language Models Offline on Local with 'ollama'
shiny.react	Tools for Using React in Shiny
shiny.router	Basic Routing for Shiny Web Applications
shiny.semantic	Semantic UI Support for Shiny
shiny.tailwind	'TailwindCSS' for Shiny Apps
shiny.telemetry	'Shiny' App Usage Telemetry
shiny.webawesome	'shiny' Bindings for 'Web Awesome' Components
shinyAce	Ace Editor Bindings for Shiny
shinyaframe	'WebVR' Data Visualizations with 'RStudio Shiny' and 'Mozilla A-Frame'
shinyalert	Easily Create Pretty Popup Messages (Modals) in 'Shiny'
shinyanimate	Animation for 'shiny' Elements
shinyauthr	'Shiny' Authentication Modules
ShinyBlock	Multi-Protocol Blockchain Simulator and Enterprise Ledger Framework
shinybody	An Interactive Anatomography Widget for 'shiny'
shinybrms	Graphical User Interface ('shiny' App) for 'brms'
shinybrowser	Find Out Information About a User's Web Browser in 'Shiny'
shinyBS	Extra Twitter Bootstrap Components for Shiny
shinybusy	Busy Indicators and Notifications for 'Shiny' Applications
shinyChakraSlider	Combined Slider and Numeric Input for 'Shiny'
shinyChakraUI	A Wrapper of the 'React' Library 'Chakra UI' for 'Shiny'
shinychat	Chat UI Component for 'shiny'
shinyChatR	R Shiny Chat Module
shinyCLT	Central Limit Theorem 'shiny' Application
shinyCohortBuilder	Modular Cohort-Building Framework for Analytical Dashboards
shinyCox	Create 'shiny' Applications for Cox Proportional Hazards Models
shinycroneditor	'shiny' Cron Expression Input Widget
shinycssloaders	Add Loading Animations to a 'shiny' Output While It's Recalculating
shinycustomloader	Custom Loader for Shiny Outputs
shinyCyJS	Create Interactive Network Visualizations in R and 'shiny'
shinydashboard	Create Dashboards with 'Shiny'
shinydashboardPlus	Add More 'AdminLTE2' Components to 'shinydashboard'
shinydataviewer	Reusable Data Viewer Module for 'shiny'
shinyDatetimePickers	Some Datetime Pickers for 'Shiny'
shinydbauth	Simple Authentification for 'shiny' Applications
shinydisconnect	Show a Nice Message When a 'Shiny' App Disconnects or Errors
shinyDND	Shiny Drag-n-Drop
shinydrive	File Sharing Shiny Module
shinyds	'Shiny' Bindings for Designsystemet Components
shinyDTC	Simple Dynamic Timer Control
shinyEditor	'Ace' and 'Monaco' Editors Bindings for 'shiny' Application
shinyEffects	Customize Your Web Apps with Fancy Effects
shinyExprPortal	A Configurable 'shiny' Portal for Sharing Analysis of Molecular Expression Data
shinyFeedback	Display User Feedback in Shiny Apps
shinyFiles	A Server-Side File System Viewer for Shiny
shinyfilter	Use Interdependent Filters on Table Columns in Shiny Apps
shinyfilters	Create 'shiny' Inputs from Vectors, 'data.frames', or any R Object
shinyfullscreen	Display 'HTML' Elements on Full Screen in 'Shiny' Apps
shinyGizmo	Custom Components for Shiny Applications
shinyglide	Glide Component for Shiny Applications
shinyGovstyle	Custom Gov Style Inputs for Shiny
shinyHeatmaply	Deploy 'heatmaply' using 'shiny'
shinyhelper	Easily Add Markdown Help Files to 'shiny' App Elements
shinyHugePlot	Efficient Plotting of Large-Sized Data
shinyInvoice	Shiny App - Generate a Pdf Invoice with 'Rmarkdown'
shinyIRT	Item Response Theory Analysis with a 'shiny' Application
shinyjqui	'jQuery UI' Interactions and Effects for Shiny
shinyjs	Easily Improve the User Experience of Your Shiny Apps in Seconds
shinykanban	Create Kanban Board in Shiny Applications
shinyKGode	An Interactive Application for ODE Parameter Inference Using Gradient Matching
shinyKnobs	A Collection of Knob Inputs for 'shiny'
shinylogs	Record Everything that Happens in a 'Shiny' Application
shinyLottie	Seamlessly Integrate 'Lottie' Animations into 'shiny' Applications
shinyLP	Bootstrap Landing Home Pages for Shiny Applications
shinymanager	Authentication Management for 'Shiny' Applications
shinymaterial	Implement Material Design in Shiny Applications
shinyMatrix	Shiny Matrix Input Field
shinyMergely	Compare and Merge Two Files with a 'Shiny' App
shinymeta	Export Domain Logic from Shiny using Meta-Programming
shinyML	Compare Supervised Machine Learning Models Using Shiny App
shinyMobile	Mobile Ready 'shiny' Apps with Standalone Capabilities
shinymodels	Interactive Assessments of Models
shinyMonacoEditor	The 'Monaco' Editor in 'Shiny'
shinymrp	Interface for Multilevel Regression and Poststratification
shinyNextUI	'HeroUI' 'React' Template for 'shiny' Apps
shinyNORRRM	The Ultimate Igneous Norm
shinyNotes	Shiny Module for Taking Free-Form Notes
shinyOAuth	Provider-Agnostic OAuth Authentication for 'shiny' Applications
shinyobjects	Access Reactive Data Interactively
shinypanel	Shiny Control Panel
shinypayload	Accept POST Data and URL Parameters in 'shiny' (Same-Port Integration)
shinyphaser	An Interface to the 'Phaser.js' Game Framework
shinypivottabler	Shiny Module to Create Pivot Tables
shinyQueryBuilder	Construct Complex Filtering Queries in 'Shiny'
ShinyQuickStarter	'RStudio' Addin for Building Shiny Apps per Drag & Drop
shinyquiz	Create Interactive Quizzes in 'shiny'
shinyr	Data Insights Through Inbuilt R Shiny App
shinyRadioMatrix	Create a Matrix with Radio Buttons
shinyRatings	An Intuitive Way of Providing Star Rating in a 'shiny' App
shinyrecipes	Gadget to Use the Data Preprocessing 'recipes' Package Interactively
shinyReports	R Markdown HTML Tab Rendering for Shiny
shinyRGL	Shiny Wrappers for RGL
shinySbm	'shiny' Application to Use the Stochastic Block Model
shinyscreenshot	Capture Screenshots of Entire Pages or Parts of Pages in 'Shiny'
shinySearchbar	Shiny Searchbar - An Input Widget for Highlighting Text and More
shinySelect	A Wrapper of the 'react-select' Library
shinyseo	Search Engine Optimization, Social Metadata, and Site Verification Helpers for 'Shiny' Apps
shinystate	Customization of Shiny Bookmarkable State
shinyStep	User-Editable R Functions in 'Shiny' Apps with a Step Debugger
shinyStorePlus	Secure in-Browser and Database Storage for 'shiny' Inputs, Outputs, Views and User Likes
shinyTempSignal	Explore Temporal and Other Phylogenetic Signals
shinytest	Test Shiny Apps
shinytest2	Testing for Shiny Applications
shinythemes	Themes for Shiny
shinyTime	A Time Input Widget for Shiny
shinyTimer	Customizable Timer for 'shiny' Applications
shinytitle	Update Browser Window Title in 'shiny' Session
shinyToastify	Pretty Notifications for 'Shiny'
shinytoastr	Notifications from 'Shiny'
shinyTree	jsTree Bindings for Shiny
shinyvalidate	Input Validation for Shiny Apps
shinyWGD	'Shiny' Application for Whole Genome Duplication Analysis
shinyWidgets	Custom Inputs Widgets for Shiny
shinyXYpad	XY Controller for 'Shiny'
SIAmodules	Modules for 'ShinyItemAnalysis'
SIAtools	'ShinyItemAnalysis' Modules Development Toolkit
sigmajs	Interface to 'Sigma.js' Graph Visualization Library
signalHsmm	Predict Presence of Signal Peptides
simCAT	Implements Computerized Adaptive Testing Simulations
simlandr	Simulation-Based Landscape Construction for Dynamical Systems
simrel	Simulation of Multivariate Linear Model Data
simRestore	Simulate the Effect of Management Policies on Restoration Efforts
SINRELEF.LD	Reliability and Relative Efficiency in Locally-Dependent Measures
sistec	Tools to Analyze 'Sistec' Datasets
SKBD	Shared Keyboard Designs for Phase I Dose-Finding Trials
SkeletalVis	Exploration and Visualisation of Skeletal Transcriptomics Data
sketch	Interactive Sketches
Slick	Interactive Visualization of MSE Results
slideview	Compare Raster Images Side by Side with a Slider
smvgraph	Various Multivariate Graphics with Variable Choice in Shiny Apps
snahelper	'RStudio' Addin for Network Analysis and Visualization
snotelr	Calculate and Visualize 'SNOTEL' Snow Data and Seasonality
soilphysics	Soil Physical Analysis
SOMbrero	SOM Bound to Realize Euclidean and Relational Outputs
SOMEnv	SOM Algorithm for the Analysis of Multivariate Environmental Data
sortable	Drag-and-Drop in 'shiny' Apps with 'SortableJS'
soundClass	Sound Classification Using Convolutional Neural Networks
soundgen	Sound Synthesis and Acoustic Analysis
SouthParkRshiny	Data and 'Shiny' Application for the Show 'SouthPark'
spada	A 'shiny' Package for Data Analysis
sparkline	'jQuery' Sparkline 'htmlwidget'
SPARTAAS	Statistical Pattern Recognition and daTing using Archaeological Artefacts assemblageS
spatialCatalogueViewer	A 'Shiny' Tool to Create Interactive Catalogues for Geospatial Data
Spectran	Visual and Non-Visual Spectral Analysis of Light
spectrolab	Class and Methods for Spectral Data
sphereML	Analyzing Students' Performance Dataset in Physics Education Research (SPHERE) using Machine Learning (ML)
spinifex	Manual Tours, Manual Control of Dynamic Projections of Numeric Multivariate Data
spoiler	Blur 'HTML' Elements in 'Shiny' Applications Using 'Spoiler-Alert.js'
spsComps	'systemPipeShiny' UI and Server Components
SqueakR	An Experiment Interface for 'DeepSqueak' Bioacoustics Research
squid	Statistical Quantification of Individual Differences
ssd4mosaic	Web Application for the SSD Module of the MOSAIC Platform
SSDM	Stacked Species Distribution Modelling
staat1cho	Study Indicators Based on Dutch Higher Education Data (1CHO)
StabilityApp	Stability Analysis App for GEI in Multi-Environment Trials
standby	Alerts, Notifications and Loading Screen in 'Shiny'
starry	Explore Data with Plots and Tables
statease	Simplified Statistical Analysis with Plain-English Interpretation
StatisticTeach1	Interactive Tool for Statistics and Probability
statsr	Companion Software for the Coursera Statistics with R Specialization
StatTeacherAssistant	An App that Assists Intro Statistics Instructors with Data Sets
stCEG	Fully Customizable Chain Event Graphs over Spatial Areas
StepRegShiny	Graphical User Interface for 'StepReg'
stepssurvey	Analyse WHO STEPS Survey Data
StereoMorph	Stereo Camera Calibration and Reconstruction
stmgui	Shiny Application for Creating STM Models
StratigrapheR	Integrated Stratigraphy
subscreen	Systematic Screening of Study Data for Subgroup Effects
sumer	Sumerian Cuneiform Text Analysis
summarytools	Tools to Quickly and Neatly Summarize Data
sunburstR	Sunburst 'Htmlwidget'
sunburstShinyWidget	Sunburst 'HTML' Widget Based on 'd3.js'
superb	Summary Plots with Adjusted Error Bars
SurprisalAnalysis	Information Theoretic Analysis of Gene Expression Data
surveydown	Markdown-Based Programmable Surveys Using 'Quarto' and 'shiny'
surveySimR	Estimation of Population Total under Complex Sampling Design
survivoR	Data from all Seasons of Survivor (US) TV Series in Tidy Format
survSampleSize	Sample Size Calculator for Survival Endpoint Clinical Trials
SveltePlots	A Wrapper for a Svelte Custom Web Component
svgPanZoom	R 'Htmlwidget' to Add Pan and Zoom to Almost any R Graphic
swipeR	Carousels using the 'JavaScript' Library 'Swiper'
swirlify	A Toolbox for Writing 'swirl' Courses
symbol.equation.gpt	Simple User Interface to Build Equations and Add Symbols
T2Qv	Control Qualitative Variables
table1	Tables of Descriptive Statistics in HTML
tableHTML	A Tool to Create HTML Tables
tabler	Create Dashboards with 'Tabler' and 'Shiny'
tablerDash	'Tabler' API for 'Shiny'
tables	Formula-Driven Table Generation
tabs	Temporal Altitudinal Biogeographic Shifts
taipan	Tool for Annotating Images in Preparation for Analysis
tangram	The Grammar of Tables
tapLock	Seamless Single Sign-on for 'shiny'
TAShiny	'Text Analyzer Shiny'
taskqueue	Task Queue for Parallel Computing Based on PostgreSQL
TaylorRussell	A Taylor-Russell Function for Multiple Predictors
TBA	Collection of 'shiny' Apps for Tree Breeding Analysis
tcgaViz	Visualization Tool for the Cancer Genome Atlas Program (TCGA)
teal	Exploratory Web Apps for Analyzing Clinical Trials Data
teal.logger	Logging Setup for the 'teal' Family of Packages
teal.modules.clinical	'teal' Modules for Standard Clinical Outputs
teal.modules.general	General Modules for 'teal' Applications
teal.picks	Dataset and Variable Picker and Merge Module for 'teal' Applications
teal.reporter	Reporting Tools for 'shiny' Modules
teal.slice	Filter Module for 'teal' Applications
teal.transform	Functions for Extracting and Merging Data in the 'teal' Framework
teal.widgets	'shiny' Widgets for 'teal' Applications
Ternary	Create Ternary and Holdridge Plots
texPreview	Compile and Preview Snippets of 'LaTeX'
textAnnotatoR	Interactive Text Annotation Tool with 'shiny' GUI
tfrmtbuilder	'shiny' App Companion to the 'tfrmt' Package
thorn	'HTMLwidgets' Displaying Some 'WebGL' Shaders
threeBrain	Your Advanced 3D Brain Visualization
threejs	Interactive 3D Scatter Plots, Networks and Globes
tidyCDISC	Quick Table Generation & Exploratory Analyses on ADaM-Ish Datasets
tidycharts	Generate Tidy Charts Inspired by 'IBCS'
tidycwl	Tidy Common Workflow Language Tools and Workflows
tidygate	Interactively Gate Points
tidyplots	Tidy Plots for Scientific Papers
timbeR	Calculate Wood Volumes from Taper Functions
timevis	Create Interactive Timeline Visualizations in R
tint	'tint' is not 'Tufte'
tinyshinyserver	Tiny 'shiny' Server - Lightweight Multi-App 'shiny' Proxy
tippy	Add Tooltips to 'R markdown' Documents or 'Shiny' Apps
TKCat	Tailored Knowledge Catalog
tmap	Thematic Maps
tmap.mapgl	Extensions to 'tmap' with Two New Modes: 'mapbox' and 'maplibre'
toastui	Interactive Tables, Calendars and Charts for the Web
toro	Interactive & Customisable Maps using the 'MapLibre GL JS' Library
tosca	Tools for Statistical Content Analysis
toxEval	Exploring Biological Relevance of Environmental Chemistry Observations
toxSummary	Visualize and Summarize Repeat-Dose Toxicology Study Results
tr.iatgen	Translate 'iatgen' Generated QSF Files
TR8	A Tool for Downloading Functional Traits Data for Plant Species
trace	Tandem Repeat Analysis by Capillary Electrophoresis
trackdem	Particle Tracking and Demography
trackeRapp	Interface for the Analysis of Running, Cycling and Swimming Data from GPS-Enabled Tracking Devices
TreeDist	Calculate and Map Distances Between Phylogenetic Trees
treemap	Treemap Visualization
TreeSearch	Phylogenetic Analysis with Discrete Character Data
treespace	Statistical Exploration of Landscapes of Phylogenetic Trees
trelliscopejs	Create Interactive Trelliscope Displays
TrialSimulator	Clinical Trial Simulator
tricolore	A Flexible Color Scale for Ternary Compositions
tRigon	Toolbox for Integrative Pathomics Analysis
tsibbletalk	Interactive Graphics for Tsibble Objects
tsviz	Easy and Interactive Time Series Visualization
tteICE	Treatment Effect Estimation for Time-to-Event Data with Intercurrent Events
ttt	The Table Tool
tufte	Tufte's Styles for R Markdown Documents
tutorial.helpers	Helper Functions for Creating Tutorials
twitterwidget	Render a Twitter Status in R Markdown Pages
TwoDiRef	Robust Estimation of Conditional 2D Reference Regions
UBayFS	A User-Guided Bayesian Framework for Ensemble Feature Selection
ubiquity	PKPD, PBPK, and Systems Pharmacology Modeling Tools
UCSCXenaShiny	Interactive Analysis of UCSC Xena Data
ufs	A Collection of Utilities
Umatrix	Visualization of Structures in High-Dimensional Data
umiAnalyzer	Tools for Analyzing Sequencing Data with Unique Molecular Identifiers
UniprotR	Retrieving Information of Proteins from Uniprot
UpDown	Detecting Group Disturbances from Longitudinal Observations
upsetjs	'HTMLWidget' Wrapper of 'UpSet.js' for Exploring Large Set Intersections
urlshorteneR	R Wrapper for the 'Bit.ly' and 'Is.gd'/'v.gd' URL Shortening Services
uteals	Shared Utilities to Extend the 'teal' Modules
valdrViz	Visualise and Report 'VALD ForceDecks' Test Results
valhallr	A Tidy Interface to the 'Valhalla' Routing Engine
validmind	Interface to the 'ValidMind' Platform
valuemap	Making Choropleth Map
VarSelLCM	Variable Selection for Model-Based Clustering of Mixed-Type Data Set with Missing Values
vcdExtra	'vcd' Extensions and Additions
vchartr	Interactive Charts with the 'JavaScript' 'VChart' Library
vctsfr	Visualizing Collections of Time Series Forecasts
vdiffr	Visual Regression Testing and Graphical Diffing
vegalite	Tools to Encode Visualizations with the 'Grammar of Graphics'-Like 'Vega-Lite' 'Spec'
vegawidget	'Htmlwidget' for 'Vega' and 'Vega-Lite'
vembedr	Embed Video in HTML
verifyr2	Compare and Verify File Contents
vfinputs	Visual Filter Inputs for Shiny
vibass	Materials for Introductory Course on Bayesian Learning
vici	Vaccine Induced Cellular Immunogenicity with Bivariate Modeling
video	'Shiny' Extension of 'video.js'
viewpoly	A Shiny App to Visualize Genetic Maps and QTL Analysis in Polyploid Species
ViewR	Advanced Interactive Data Tables and Data Explorer
visachartR	Wrapper for 'Visa Chart Components'
ViSe	Visualizing Sensitivity
visNetwork	Network Visualization using 'vis.js' Library
visualFields	Statistical Methods for Visual Fields
Visualize.CRAN.Downloads	Visualize Downloads from 'CRAN' Packages
visvaR	Shiny-Based Statistical Solutions for Agricultural Research
visvow	Visible Vowels: Visualization of Vowel Variation
visxhclust	A Shiny App for Visual Exploration of Hierarchical Clustering
vivainsights	Analyze and Visualize Data from 'Microsoft Viva Insights'
vizdraws	Visualize Draws from the Prior and Posterior Distributions
VizModules	Flexible, Interactive 'shiny' Modules for Almost Any Plot
voice	Speaker Recognition, Voice Analysis and Mood Inference via Music Theory
volcano3D	3D Volcano Plots and Polar Plots for Three-Class Data
volcanoPlot	Volcano Plot for Clinical Trial Adverse Events
voronoiTreemap	Voronoi Treemaps with Added Interactivity by Shiny
VOSONDash	User Interface for Collecting and Analysing Social Networks
vov	CSS Animations for 'shiny' Elements
vtree	Display Information About Nested Subsets of a Data Frame
VTShiny	Interactive Document for Working with Variance Analysis
vueR	'Vuejs' Helpers and 'Htmlwidget'
vvdoctor	Statistical Test App with R 'shiny'
VWPre	Tools for Preprocessing Visual World Data
waiter	Loading Screen for 'Shiny'
wallace	A Modular Platform for Reproducible Modeling of Species Niches and Distributions
webmap	Create Interactive Web Maps Using 'The National Map' Services
widgetframe	'Htmlwidgets' in Responsive 'iframes'
WMFM	Explore Fitted Linear and Generalised Linear Models with 'shiny'
wordcloud2	Create Word Cloud by 'htmlwidget'
wpa	Tools for Analysing and Visualising Viva Insights Data
wppExplorer	Explorer of World Population Prospects
xaringan	Presentation Ninja
xaringanExtra	Extras and Extensions for 'xaringan' Slides
XKCDdata	Get XKCD Comic Data
xplorerr	Tools for Interactive Data Exploration
yuimaGUI	A Graphical User Interface for the 'yuima' Package
ZetaSuite	Analyze High-Dimensional High-Throughput Dataset and Quality Control Single-Cell RNA-Seq
zooimage	Analysis of Numerical Plankton Images
zscorer	Child Anthropometry z-Score Calculator
